1418,14-18,14-18,Cette collection inclut tous les magazines et revues du corpus 14-18,This collection includes all the magazines of the 14-18 dataset,https://gallica.bnf.fr,https://gallica.bnf.fr/ark:/12148/bpt6k6557391t/thumbnail,1910,1920
"cb32807694j","Ligue aéronautique de France"
"cb34457768w","L'Ambulance"
"cb343631418","L'Aviation et l'automobilisme"
"cb327354521","Les Cahiers de la guerre"
"cb327844357","La Guerre aérienne illustrée"
"cb32788750x","L'Image de la guerre "
"cb32800408w","Journal des sciences militaires"
"cb34419118b","Le Miroir"
"cb38728672j","Le Miroir des sports"
"cb328312353","Pages de gloire"
"cb328533478","La Restauration maxillo-faciale"
"cb34432899t","Le Rire"
"cb328658898","La Science et la vie"
"cb32888628n","La Vie aérienne illustrée"
"cb32888685g","La Vie au grand air"
