presse_feminine,Presse féminine,Cette collection est une adaptation de la sélection Gallica 'Presse féminine',This collection is an adaptation of the Gallica selection 'Presse féminine',https://gallica.bnf.fr/html/und/presse-et-revues/presse-feminine,https://gallica.bnf.fr/ark:/12148/bpt6k9604118j/thumbnail,,
"cb32681712h","Action. Revue sociale féminine, littéraire, artistique (L')"
"cb32702452p","Art d'être jolie (L')"
"cb34444568d","Boîte à ouvrage (La)"
"cb32726451q","Bulletin des patronages de jeunes filles"
"cb327349107","Cabinet des modes"
"cb327370187","Canastilla infantil (La)"
"cb32740151v","Chapeaux d'été"
"cb327401526","Chapeaux d'hiver"
"cb32742593c","Circulaire de la Ligue féminine d'action catholique française"
"cb32757532k","Dimanches de la femme (Les)"
"cb32765738x","Elan de la mode (L')"
"cb343485686","Elle (Paris)"
"cb327739773","Femme (La)"
"cb327739909","Femme aux courses et dans les sports (La)"
"cb32774118m","Femmes françaises"
"cb32774128x","Femmes seules : leur avenir"
"cb387350355","Figaro-modes (Le)"
"cb327795523","Gallery of fashion"
"cb32779914n","Gauloises (Les)"
"cb327808310","Gazette des femmes (La)"
"cb344212255","Jardin des modes nouvelles"
"cb327958600","Jeune mère ou l'éducation du premier âge (La)"
"cb327965116","Joie de la maison (La)"
"cb327980804","Journal de la Jeune fille"
"cb32799510k","Journal des dames et des modes"
"cb32799912c","Journal des jeunes filles françaises et de la famille (Le)"
"cb32800020n","Journal des marchandes de modes (Le)"
"cb32802292j","Journal pour toutes"
"cb32896302v","Magasin des modes nouvelles, françaises et anglaises"
"cb343488519","Marie-Claire"
"cb40216887k","Mercure galant (1678)"
"cb344249203","Mère éducatrice (La)"
"cb32815027g","Messager des dames (Le)"
"cb328159378","Midinette"
"cb328174690","Mode du jour (La)"
"cb328174857","Mode et beauté"
"cb34444965g","Mode et la maison (La)"
"cb32817516p","Mode-palace"
"cb32817646w","Modes (Les)"
"cb32825210h","Notre journal (Union féminine civique et sociale)"
"cb32831927d","Papillon (Le)"
"cb32832164n","Paris-Alger magazine"
"cb32833138b","Parisiana"
"cb32833196h","Parisiennes (Les)"
"cb32837809n","Petite feuille des dames (La)"
"cb34444962f","Sylphide (La)"
"cb34460936b","Union des Femmes de France"
"cb343833568","Vogue "
